subject,subj_id,session,block,prop_word_faster,pwf_ord1,pwf_ord2,nwf_ord1,nwf_ord2
28,p3006,1,1,0.25,0.0833333333333333,0.0416666666666667,2,1
28,p3006,1,2,0.5,0.125,0.125,3,3
28,p3006,1,3,0.416666666666667,0.0833333333333333,0.125,2,3
28,p3006,1,4,0.416666666666667,0.0833333333333333,0.125,2,3
28,p3006,2,1,0.583333333333333,0.166666666666667,0.125,4,3
28,p3006,2,2,0.166666666666667,0.0416666666666667,0.0416666666666667,1,1
28,p3006,2,3,0.666666666666667,0.125,0.208333333333333,3,5
28,p3006,2,4,0.666666666666667,0.166666666666667,0.166666666666667,4,4
29,r1028,1,1,0.5,0.125,0.125,3,3
29,r1028,1,2,0.666666666666667,0.208333333333333,0.125,5,3
29,r1028,1,3,0.5,0.125,0.125,3,3
29,r1028,1,4,0.333333333333333,0.125,0.0416666666666667,3,1
29,r1028,2,1,0.5,0.125,0.125,3,3
29,r1028,2,2,0.583333333333333,0.208333333333333,0.0833333333333333,5,2
29,r1028,2,3,0.666666666666667,0.208333333333333,0.125,5,3
29,r1028,2,4,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
30,s1107,1,1,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
30,s1107,1,2,0.583333333333333,0.166666666666667,0.125,4,3
30,s1107,1,3,0.333333333333333,0.166666666666667,0,4,0
30,s1107,1,4,0.583333333333333,0.166666666666667,0.125,4,3
30,s1107,2,1,0.5,0.166666666666667,0.0833333333333333,4,2
30,s1107,2,2,0.5,0.125,0.125,3,3
30,s1107,2,3,0.5,0.208333333333333,0.0416666666666667,5,1
30,s1107,2,4,0.5,0.166666666666667,0.0833333333333333,4,2
31,s1311,1,1,0.583333333333333,0.125,0.166666666666667,3,4
31,s1311,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
31,s1311,1,3,0.666666666666667,0.125,0.208333333333333,3,5
31,s1311,1,4,0.5,0.125,0.125,3,3
31,s1311,2,1,0.5,0.0416666666666667,0.208333333333333,1,5
31,s1311,2,2,0.583333333333333,0.0833333333333333,0.208333333333333,2,5
31,s1311,2,3,0.583333333333333,0.125,0.166666666666667,3,4
31,s1311,2,4,0.416666666666667,0.125,0.0833333333333333,3,2
32,s1512,1,1,0.583333333333333,0.208333333333333,0.0833333333333333,5,2
32,s1512,1,2,0.0833333333333333,0.0416666666666667,0,1,0
32,s1512,1,3,0.75,0.208333333333333,0.166666666666667,5,4
32,s1512,1,4,0.583333333333333,0.166666666666667,0.125,4,3
32,s1512,2,1,0.75,0.208333333333333,0.166666666666667,5,4
32,s1512,2,2,0.666666666666667,0.166666666666667,0.166666666666667,4,4
32,s1512,2,3,0.5,0.166666666666667,0.0833333333333333,4,2
32,s1512,2,4,0.5,0.166666666666667,0.0833333333333333,4,2
33,s1911,1,1,0.583333333333333,0.166666666666667,0.125,4,3
33,s1911,1,2,0.25,0.0416666666666667,0.0833333333333333,1,2
33,s1911,1,3,0.416666666666667,0.125,0.0833333333333333,3,2
33,s1911,1,4,0.666666666666667,0.208333333333333,0.125,5,3
33,s1911,2,1,0.583333333333333,0.208333333333333,0.0833333333333333,5,2
33,s1911,2,2,0.416666666666667,0.125,0.0833333333333333,3,2
33,s1911,2,3,0.75,0.208333333333333,0.166666666666667,5,4
33,s1911,2,4,0.583333333333333,0.125,0.166666666666667,3,4
34,t0204,1,1,0.583333333333333,0.125,0.166666666666667,3,4
34,t0204,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
34,t0204,1,3,0.5,0.125,0.125,3,3
34,t0204,1,4,0.416666666666667,0.125,0.0833333333333333,3,2
34,t0204,2,1,0.5,0.125,0.125,3,3
34,t0204,2,2,0.75,0.208333333333333,0.166666666666667,5,4
34,t0204,2,3,0.583333333333333,0.166666666666667,0.125,4,3
34,t0204,2,4,0.5,0.0833333333333333,0.166666666666667,2,4
35,t2311,1,1,0.5,0.125,0.125,3,3
35,t2311,1,2,0.583333333333333,0.166666666666667,0.125,4,3
35,t2311,1,3,0.666666666666667,0.166666666666667,0.166666666666667,4,4
35,t2311,1,4,0.25,0,0.125,0,3
35,t2311,2,1,0.5,0.0416666666666667,0.208333333333333,1,5
35,t2311,2,2,0.416666666666667,0.125,0.0833333333333333,3,2
35,t2311,2,3,0.25,0.0416666666666667,0.0833333333333333,1,2
35,t2311,2,4,0.5,0.166666666666667,0.0833333333333333,4,2
36,w2505,1,1,0.833333333333333,0.166666666666667,0.25,4,6
36,w2505,1,2,0.75,0.166666666666667,0.208333333333333,4,5
36,w2505,1,3,0.666666666666667,0.125,0.208333333333333,3,5
36,w2505,1,4,0.5,0.125,0.125,3,3
36,w2505,2,1,0.583333333333333,0.0833333333333333,0.208333333333333,2,5
36,w2505,2,2,0.416666666666667,0.0833333333333333,0.125,2,3
36,w2505,2,3,0.583333333333333,0.125,0.166666666666667,3,4
36,w2505,2,4,0.333333333333333,0.0416666666666667,0.125,1,3
37,w2806,1,1,0.5,0.208333333333333,0.0416666666666667,5,1
37,w2806,1,2,0.75,0.25,0.125,6,3
37,w2806,1,3,0.5,0.208333333333333,0.0416666666666667,5,1
37,w2806,1,4,0.583333333333333,0.166666666666667,0.125,4,3
37,w2806,2,1,0.5,0.125,0.125,3,3
37,w2806,2,2,0.416666666666667,0.125,0.0833333333333333,3,2
37,w2806,2,3,0.25,0.0833333333333333,0.0416666666666667,2,1
37,w2806,2,4,0.5,0.166666666666667,0.0833333333333333,4,2
38,y0305,1,1,0.666666666666667,0.208333333333333,0.125,5,3
38,y0305,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
38,y0305,1,3,0.583333333333333,0.125,0.166666666666667,3,4
38,y0305,1,4,0.5,0.125,0.125,3,3
38,y0305,2,1,0.333333333333333,0.0416666666666667,0.125,1,3
38,y0305,2,2,0.5,0.125,0.125,3,3
38,y0305,2,3,0.666666666666667,0.125,0.208333333333333,3,5
38,y0305,2,4,0.0833333333333333,0.0416666666666667,0,1,0
