"Subject","Block","Trial","Session","Syll","Cond_Order","Word","Position","Dial","Prev_ISI","Prev_Pos","Curr_ISI","Curr_Pos","ISI_Diff","Pos_Diff","X","Point"
"a2605",1,3,"struct","di","rand-struct","1","3","2",28,84,28,84,0,0,18,"start"
"a2605",1,3,"rand","ki","rand-struct",NA,"1","3",0,0,47,141,0,0,1,"start"
"a2605",1,3,"rand","di","rand-struct",NA,"2","2",47,141,47,141,0,0,1,"start"
"a2605",1,3,"rand","se","rand-struct",NA,"3","1",558,1674,558,1674,0,0,1,"start"
"a2605",1,4,"struct","di","rand-struct","1","3","3",0,0,139,417,0,0,36,"start"
"a2605",1,4,"struct","ro","rand-struct","2","1","2",223,669,223,669,0,0,36,"start"
"a2605",1,4,"struct","ki","rand-struct","2","2","1",464,1392,464,1392,0,0,36,"start"
"a2605",1,4,"rand","be","rand-struct",NA,"3","2",0,0,558,1674,0,0,1,"start"
"a2605",1,4,"rand","se","rand-struct",NA,"1","1",285,855,285,855,0,0,1,"start"
"a2605",1,4,"rand","mi","rand-struct",NA,"2","3",52,156,52,156,0,0,1,"start"
"a2605",1,5,"struct","za","rand-struct","4","1","1",0,0,139,417,0,0,22,"start"
"a2605",1,5,"struct","be","rand-struct","4","2","3",464,1392,464,1392,0,0,22,"start"
"a2605",1,5,"struct","tu","rand-struct","4","3","2",464,1392,464,1392,0,0,22,"start"
"a2605",1,5,"rand","ki","rand-struct",NA,"1","3",0,0,285,855,0,0,1,"start"
"a2605",1,5,"rand","nu","rand-struct",NA,"2","1",47,141,47,141,0,0,1,"start"
"a2605",1,5,"rand","be","rand-struct",NA,"3","2",271,813,271,813,0,0,1,"start"
"a2605",1,6,"struct","za","rand-struct","4","1","1",0,0,561,1683,0,0,34,"start"
"a2605",1,6,"struct","be","rand-struct","4","2","3",289,867,289,867,0,0,34,"start"
"a2605",1,6,"struct","tu","rand-struct","4","3","2",324,972,324,972,0,0,35,"start"
"a2605",1,6,"rand","tu","rand-struct",NA,"1","2",0,0,52,156,0,0,1,"start"
"a2605",1,6,"rand","za","rand-struct",NA,"2","1",409,1227,409,1227,0,0,1,"start"
"a2605",1,6,"rand","la","rand-struct",NA,"3","3",409,1227,409,1227,0,0,1,"start"
"a2605",1,7,"struct","po","rand-struct","3","2","3",0,0,28,84,0,0,31,"start"
"a2605",1,7,"struct","la","rand-struct","3","3","2",289,867,289,867,0,0,32,"start"
"a2605",1,7,"struct","nu","rand-struct","1","1","1",329,987,329,987,0,0,32,"start"
"a2605",1,7,"rand","mi","rand-struct",NA,"2","3",0,0,541,1623,0,0,1,"start"
"a2605",1,7,"rand","be","rand-struct",NA,"3","1",121,363,121,363,0,0,1,"start"
"a2605",1,7,"rand","mi","rand-struct",NA,"1","2",285,855,285,855,0,0,1,"start"
"a2605",1,8,"struct","ro","rand-struct","2","1","2",0,0,139,417,0,0,21,"start"
"a2605",1,8,"struct","ki","rand-struct","2","2","1",350,1050,350,1050,0,0,21,"start"
"a2605",1,8,"struct","se","rand-struct","2","3","3",350,1050,350,1050,0,0,21,"start"
"a2605",1,8,"rand","mi","rand-struct",NA,"1","2",0,0,409,1227,0,0,1,"start"
"a2605",1,8,"rand","tu","rand-struct",NA,"2","1",541,1623,541,1623,0,0,1,"start"
"a2605",1,8,"rand","la","rand-struct",NA,"3","3",558,1674,558,1674,0,0,1,"start"
"a2605",1,9,"struct","be","rand-struct","4","2","1",0,0,223,669,0,0,21,"start"
"a2605",1,9,"struct","tu","rand-struct","4","3","3",324,972,324,972,0,0,21,"start"
"a2605",1,9,"struct","mi","rand-struct","3","1","2",561,1683,561,1683,0,0,22,"start"
"a2605",1,9,"rand","la","rand-struct",NA,"2","2",0,0,121,363,0,0,1,"start"
"a2605",1,9,"rand","po","rand-struct",NA,"3","3",271,813,271,813,0,0,1,"start"
"a2605",1,9,"rand","ro","rand-struct",NA,"1","1",52,156,52,156,0,0,1,"start"
"a2605",1,10,"struct","la","rand-struct","3","3","2",0,0,329,987,0,0,39,"start"
"a2605",1,10,"struct","ro","rand-struct","2","1","3",510,1530,510,1530,0,0,39,"start"
"a2605",1,10,"struct","ki","rand-struct","2","2","1",324,972,324,972,0,0,40,"start"
"a2605",1,10,"rand","se","rand-struct",NA,"3","1",0,0,271,813,0,0,1,"start"
"a2605",1,10,"rand","la","rand-struct",NA,"1","2",36,108,36,108,0,0,1,"start"
"a2605",1,10,"rand","tu","rand-struct",NA,"2","3",288,864,288,864,0,0,1,"start"
"a2605",2,1,"struct","be","rand-struct","4","2","1",0,0,178,534,0,0,19,"start"
"a2605",2,1,"struct","tu","rand-struct","4","3","3",44,132,44,132,0,0,20,"start"
"a2605",2,1,"struct","mi","rand-struct","3","1","2",227,681,227,681,0,0,20,"start"
"a2605",2,1,"rand","se","rand-struct",NA,"2","3",0,0,237,711,0,0,1,"start"
"a2605",2,1,"rand","ro","rand-struct",NA,"3","1",268,804,268,804,0,0,1,"start"
"a2605",2,1,"rand","la","rand-struct",NA,"1","2",3,9,3,9,0,0,1,"start"
"a2605",2,2,"struct","ki","rand-struct","2","2","2",0,0,44,132,0,0,19,"start"
"a2605",2,2,"struct","se","rand-struct","2","3","3",227,681,227,681,0,0,20,"start"
"a2605",2,2,"struct","za","rand-struct","4","1","1",284,852,284,852,0,0,20,"start"
"a2605",2,2,"rand","po","rand-struct",NA,"2","2",0,0,340,1020,0,0,1,"start"
"a2605",2,2,"rand","nu","rand-struct",NA,"3","3",3,9,3,9,0,0,1,"start"
"a2605",2,2,"rand","se","rand-struct",NA,"1","1",369,1107,369,1107,0,0,1,"start"
"a2605",2,3,"struct","tu","rand-struct","4","3","2",0,0,248,744,0,0,10,"start"
"a2605",2,3,"struct","mi","rand-struct","3","1","3",178,534,178,534,0,0,10,"start"
"a2605",2,3,"struct","po","rand-struct","3","2","1",44,132,44,132,0,0,11,"start"
"a2605",2,3,"rand","la","rand-struct",NA,"3","3",0,0,289,867,0,0,1,"start"
"a2605",2,3,"rand","mi","rand-struct",NA,"1","1",451,1353,451,1353,0,0,1,"start"
"a2605",2,3,"rand","ro","rand-struct",NA,"2","2",289,867,275,827,-14,-40,1,"start"
"a2605",2,4,"struct","di","rand-struct","1","3","2",0,0,16,48,0,0,18,"start"
"a2605",2,4,"struct","mi","rand-struct","3","1","1",227,681,227,681,0,0,19,"start"
"a2605",2,4,"struct","po","rand-struct","3","2","3",90,270,90,270,0,0,19,"start"
"a2605",2,4,"rand","za","rand-struct",NA,"3","3",0,0,78,234,0,0,1,"start"
"a2605",2,4,"rand","la","rand-struct",NA,"1","1",78,234,78,234,0,0,1,"start"
"a2605",2,4,"rand","se","rand-struct",NA,"2","2",195,585,195,585,0,0,1,"start"
"a2605",2,5,"struct","la","rand-struct","3","3","2",0,0,309,927,0,0,13,"start"
"a2605",2,5,"struct","za","rand-struct","4","1","1",90,270,90,270,0,0,14,"start"
"a2605",2,5,"struct","be","rand-struct","4","2","3",569,1707,569,1707,0,0,14,"start"
"a2605",2,5,"rand","ki","rand-struct",NA,"3","2",0,0,369,1107,0,0,1,"start"
"a2605",2,5,"rand","ro","rand-struct",NA,"1","1",340,1020,340,1020,0,0,1,"start"
"a2605",2,5,"rand","se","rand-struct",NA,"2","3",369,1107,369,1107,0,0,1,"start"
"a2605",2,6,"struct","ro","rand-struct","2","1","3",0,0,309,927,0,0,13,"start"
"a2605",2,6,"struct","ki","rand-struct","2","2","2",178,534,178,534,0,0,13,"start"
"a2605",2,6,"struct","se","rand-struct","2","3","1",16,48,16,48,0,0,14,"start"
"a2605",2,6,"rand","se","rand-struct",NA,"1","2",0,0,451,1353,0,0,1,"start"
"a2605",2,6,"rand","ga","rand-struct",NA,"2","1",3,9,3,9,0,0,1,"start"
"a2605",2,6,"rand","ro","rand-struct",NA,"3","3",451,1353,451,1353,0,0,1,"start"
"a2605",2,7,"struct","po","rand-struct","3","2","1",0,0,65,195,0,0,14,"start"
"a2605",2,7,"struct","la","rand-struct","3","3","3",16,48,16,48,0,0,14,"start"
"a2605",2,7,"struct","za","rand-struct","4","1","2",569,1707,569,1707,0,0,15,"start"
"a2605",2,7,"rand","mi","rand-struct",NA,"2","3",0,0,195,585,0,0,1,"start"
"a2605",2,7,"rand","di","rand-struct",NA,"3","2",78,234,78,234,0,0,1,"start"
"a2605",2,7,"rand","po","rand-struct",NA,"1","1",579,1737,579,1737,0,0,1,"start"
"a2605",2,8,"struct","nu","rand-struct","1","1","1",0,0,309,927,0,0,11,"start"
"a2605",2,8,"struct","ga","rand-struct","1","2","2",65,195,65,195,0,0,11,"start"
"a2605",2,8,"struct","di","rand-struct","1","3","3",284,852,284,852,0,0,12,"start"
