"subject","block","trial","target_num","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",6,18,2,"mi",3,1,1,558.59999999986,0.55859999999986,0.568469361505084
"m0085",6,18,3,"mi",3,1,1,418.40000000014,0.41840000000014,-0.245526268688416
"m0085",6,18,4,"mi",3,1,1,488.399999999907,0.488399999999907,0.160890950380551
"m0085",6,18,6,"mi",3,1,1,906.299999999814,0.906299999999814,2.58720174822982
"m0085",6,18,7,"mi",3,1,1,490.100000000093,0.490100000000093,0.170761082844767
"m0085",6,18,8,"mi",3,1,1,716.199999999953,0.716199999999953,1.48348870044109
"m0085",6,18,9,"mi",3,1,0,NA,NA,NA
"m0085",6,18,10,"mi",3,1,0,NA,NA,NA
"m0085",6,18,11,"mi",3,1,0,NA,NA,NA
"m0085",6,18,12,"mi",3,1,1,472,0.472,0.0656732019131874
"m0085",6,18,13,"mi",3,1,1,557.699999999953,0.557699999999953,0.563243997260434
"m0085",6,18,14,"mi",3,1,1,611.699999999953,0.611699999999953,0.876765851971824
"m0085",6,18,15,"mi",3,1,1,527.699999999953,0.527699999999953,0.38906518908744
"m0085",6,18,16,"mi",3,1,1,539.5,0.5395,0.457575520302424
"m0085",6,18,17,"mi",3,1,1,619.5,0.6195,0.922052342097075
"m0085",6,18,18,"mi",3,1,1,495.40000000014,0.49540000000014,0.201532672288936
"m0085",7,19,1,"di",1,3,1,437.09999999986,0.43709999999986,-0.136954811595542
"m0085",7,19,2,"di",1,3,1,377.09999999986,0.37709999999986,-0.48531242794153
"m0085",7,19,3,"di",1,3,1,392.799999999814,0.392799999999814,-0.394158851664597
"m0085",7,19,4,"di",1,3,1,488.699999999953,0.488699999999953,0.162632738462548
"m0085",7,19,5,"di",1,3,0,NA,NA,NA
"m0085",7,19,6,"di",1,3,1,410.59999999986,0.41059999999986,-0.29081275881502
"m0085",7,19,7,"di",1,3,1,314.5,0.3145,-0.848765540995032
"m0085",7,19,8,"di",1,3,0,NA,NA,NA
"m0085",7,19,9,"di",1,3,1,746.399999999907,0.746399999999907,1.6588287006683
"m0085",7,19,10,"di",1,3,1,434.399999999907,0.434399999999907,-0.152630904330839
"m0085",7,19,11,"di",1,3,0,NA,NA,NA
"m0085",7,19,12,"di",1,3,1,564.09999999986,0.56409999999986,0.600402143003466
"m0085",7,19,13,"di",1,3,0,NA,NA,NA
"m0085",7,19,14,"di",1,3,1,506.09999999986,0.50609999999986,0.263656447202345
"m0085",7,19,15,"di",1,3,1,336,0.336,-0.723937395137719
"m0085",7,19,16,"di",1,3,0,NA,NA,NA
"m0085",7,19,17,"di",1,3,1,471.799999999814,0.471799999999814,0.064512009857621
"m0085",7,19,18,"di",1,3,1,385.699999999953,0.385699999999953,-0.435381169598065
"m0085",7,20,1,"ki",2,2,1,479.40000000014,0.47940000000014,0.108637307930005
"m0085",7,20,2,"ki",2,2,1,563.300000000047,0.563300000000047,0.595757374786606
"m0085",7,20,3,"ki",2,2,1,557.199999999953,0.557199999999953,0.560341017124218
"m0085",7,20,4,"ki",2,2,1,761.100000000093,0.761100000000093,1.74417631667415
"m0085",7,20,5,"ki",2,2,1,509,0.509,0.280493731993213
"m0085",7,20,7,"ki",2,2,1,594.90000000014,0.59490000000014,0.779225719396033
"m0085",7,20,8,"ki",2,2,1,734.800000000047,0.734800000000047,1.59147956150889
"m0085",7,20,9,"ki",2,2,1,610.700000000186,0.610700000000186,0.870959891700744
"m0085",7,20,10,"ki",2,2,1,766.600000000093,0.766600000000093,1.77610909817253
"m0085",7,20,11,"ki",2,2,1,612.700000000186,0.612700000000186,0.88257181224561
"m0085",7,20,12,"ki",2,2,1,480.5,0.4805,0.115023864228869
"m0085",7,20,13,"ki",2,2,1,438.5,0.4385,-0.128826467213323
"m0085",7,20,14,"ki",2,2,1,546.300000000047,0.546300000000047,0.497056050155243
"m0085",7,20,15,"ki",2,2,1,912.200000000186,0.912200000000186,2.62145691383934
"m0085",7,20,16,"ki",2,2,1,508.200000000186,0.508200000000186,0.275848963776347
"m0085",7,20,17,"ki",2,2,1,512.300000000047,0.512300000000047,0.299653400892516
"m0085",7,20,18,"ki",2,2,1,408.100000000093,0.408100000000093,-0.30532765949475
"m0085",7,21,1,"nu",1,1,0,NA,NA,NA
"m0085",7,21,2,"nu",1,1,1,495.800000000047,0.495800000000047,0.203855056397369
"m0085",7,21,3,"nu",1,1,1,475.800000000047,0.475800000000047,0.0877358509487063
"m0085",7,21,4,"nu",1,1,1,347.700000000186,0.347700000000186,-0.656007659949172
"m0085",7,21,5,"nu",1,1,1,457.600000000093,0.457600000000093,-0.0179326260093098
"m0085",7,21,6,"nu",1,1,1,521.40000000014,0.52140000000014,0.352487639372197
