subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
18,22,18,23,0.777777777777778,0.736842105263158,14,4,5
18,23,18,19,0.722222222222222,0.928571428571429,13,5,1
18,24,18,18,1,1,18,0,0
19,1,18,20,0.944444444444444,0.894736842105263,17,1,2
19,2,18,19,0.944444444444444,0.944444444444444,17,1,1
19,3,18,29,0.444444444444444,0.421052631578947,8,10,11
19,4,18,18,0.888888888888889,1,16,2,0
19,5,18,18,0.833333333333333,1,15,3,0
19,6,18,18,0.944444444444444,1,17,1,0
19,7,18,18,1,1,18,0,0
19,8,18,18,0.5,1,9,9,0
19,9,18,18,0.944444444444444,1,17,1,0
19,10,18,18,0.944444444444444,1,17,1,0
19,11,18,19,0.833333333333333,0.9375,15,3,1
19,12,18,20,0.833333333333333,0.882352941176471,15,3,2
19,13,18,19,1,0.947368421052632,18,0,1
19,14,18,19,0.777777777777778,0.933333333333333,14,4,1
19,15,18,19,0.944444444444444,0.944444444444444,17,1,1
19,16,18,21,0.888888888888889,0.842105263157895,16,2,3
19,17,18,19,0.944444444444444,0.944444444444444,17,1,1
19,18,18,28,0.388888888888889,0.411764705882353,7,11,10
19,19,18,19,0.5,0.9,9,9,1
19,20,18,18,0.833333333333333,1,15,3,0
19,21,18,26,0.444444444444444,0.5,8,10,8
19,22,18,18,0.944444444444444,1,17,1,0
19,23,18,18,0.944444444444444,1,17,1,0
19,24,18,30,0.388888888888889,0.368421052631579,7,11,12
20,1,18,19,0.833333333333333,0.9375,15,3,1
20,2,18,18,0.722222222222222,1,13,5,0
20,3,18,24,0.166666666666667,0.333333333333333,3,15,6
20,4,18,18,0.166666666666667,1,3,15,0
20,5,18,18,0.166666666666667,1,3,15,0
20,6,18,19,0.666666666666667,0.923076923076923,12,6,1
20,7,18,18,0.444444444444444,1,8,10,0
20,8,18,21,0.166666666666667,0.5,3,15,3
20,9,18,18,0.444444444444444,1,8,10,0
20,10,18,18,0.166666666666667,1,3,15,0
20,11,18,18,0.277777777777778,1,5,13,0
20,12,18,19,0.611111111111111,0.916666666666667,11,7,1
20,13,18,20,0.888888888888889,0.888888888888889,16,2,2
20,14,18,21,0.777777777777778,0.823529411764706,14,4,3
20,15,18,19,0.777777777777778,0.933333333333333,14,4,1
20,16,18,22,0.0555555555555556,0.2,1,17,4
20,17,18,19,0.611111111111111,0.916666666666667,11,7,1
20,18,18,18,0.722222222222222,1,13,5,0
20,19,18,18,0.555555555555556,1,10,8,0
20,20,18,23,0.277777777777778,0.5,5,13,5
20,21,18,21,0.611111111111111,0.785714285714286,11,7,3
20,22,18,18,0.444444444444444,1,8,10,0
20,23,18,20,0.555555555555556,0.833333333333333,10,8,2
20,24,18,19,0.833333333333333,0.9375,15,3,1
21,1,18,29,0.388888888888889,0.388888888888889,7,11,11
21,2,18,26,0.944444444444444,0.68,17,1,8
21,3,18,22,0.888888888888889,0.8,16,2,4
21,4,18,18,0.888888888888889,1,16,2,0
21,5,18,20,0.722222222222222,0.866666666666667,13,5,2
21,6,18,29,0.333333333333333,0.352941176470588,6,12,11
21,7,18,20,0.722222222222222,0.866666666666667,13,5,2
21,8,18,18,0.722222222222222,1,13,5,0
21,9,18,19,0.944444444444444,0.944444444444444,17,1,1
21,10,18,18,0.888888888888889,1,16,2,0
21,11,18,22,0.444444444444444,0.666666666666667,8,10,4
21,12,18,19,1,0.947368421052632,18,0,1
21,13,18,19,0.611111111111111,0.916666666666667,11,7,1
21,14,18,19,1,0.947368421052632,18,0,1
21,15,18,18,0.944444444444444,1,17,1,0
21,16,18,18,0.611111111111111,1,11,7,0
21,17,18,18,1,1,18,0,0
21,18,18,20,0.777777777777778,0.875,14,4,2
21,19,18,18,0.888888888888889,1,16,2,0
21,20,18,26,0.388888888888889,0.466666666666667,7,11,8
21,21,18,18,1,1,18,0,0
21,22,18,18,1,1,18,0,0
21,23,18,18,0.944444444444444,1,17,1,0
21,24,18,18,0.833333333333333,1,15,3,0
22,1,18,18,0.944444444444444,1,17,1,0
22,2,18,20,0.833333333333333,0.882352941176471,15,3,2
22,3,18,26,0.166666666666667,0.272727272727273,3,15,8
22,4,18,19,0.833333333333333,0.9375,15,3,1
22,5,18,19,1,0.947368421052632,18,0,1
22,6,18,28,0.5,0.473684210526316,9,9,10
22,7,18,29,0.5,0.45,9,9,11
22,8,18,18,0.611111111111111,1,11,7,0
22,9,18,19,0.722222222222222,0.928571428571429,13,5,1
22,10,18,19,0.666666666666667,0.923076923076923,12,6,1
22,11,18,21,0.833333333333333,0.833333333333333,15,3,3
22,12,18,30,0.333333333333333,0.333333333333333,6,12,12
22,13,18,18,0.5,1,9,9,0
22,14,18,19,0.888888888888889,0.941176470588235,16,2,1
22,15,18,18,0.888888888888889,1,16,2,0
22,16,18,19,0.222222222222222,0.8,4,14,1
22,17,18,19,0.5,0.9,9,9,1
22,18,18,32,0.277777777777778,0.263157894736842,5,13,14
22,19,18,18,0.555555555555556,1,10,8,0
22,20,18,19,0.833333333333333,0.9375,15,3,1
22,21,18,24,0.388888888888889,0.538461538461538,7,11,6
22,22,18,26,0.0555555555555556,0.111111111111111,1,17,8
22,23,18,18,0.777777777777778,1,14,4,0
22,24,18,20,0.722222222222222,0.866666666666667,13,5,2
23,1,18,20,0.611111111111111,0.846153846153846,11,7,2
23,2,18,19,1,0.947368421052632,18,0,1
23,3,18,27,0.333333333333333,0.4,6,12,9
23,4,18,18,0.777777777777778,1,14,4,0
23,5,18,18,0.944444444444444,1,17,1,0
23,6,18,19,0.888888888888889,0.941176470588235,16,2,1
